2025-08-24 01:11:37,956 - INFO - Step 1, Epoch 81: Retain=62.43, New=78.20, Forget=0.00, Combined=65.57, Balanced=70.31, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:12:43,348 - INFO - Step 1, Epoch 82: Retain=62.99, New=76.48, Forget=0.00, Combined=65.68, Balanced=69.74, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:13:49,391 - INFO - Step 1, Epoch 83: Retain=61.97, New=77.51, Forget=0.00, Combined=65.07, Balanced=69.74, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:14:56,040 - INFO - Step 1, Epoch 84: Retain=62.97, New=76.26, Forget=0.00, Combined=65.61, Balanced=69.61, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:16:02,205 - INFO - Step 1, Epoch 85: Retain=62.26, New=77.63, Forget=0.00, Combined=65.32, Balanced=69.94, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:17:08,879 - INFO - Step 1, Epoch 86: Retain=61.49, New=75.34, Forget=0.00, Combined=64.25, Balanced=68.42, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:18:15,223 - INFO - Step 1, Epoch 87: Retain=61.26, New=79.34, Forget=0.00, Combined=64.86, Balanced=70.30, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:19:21,137 - INFO - Step 1, Epoch 88: Retain=63.76, New=76.48, Forget=0.00, Combined=66.30, Balanced=70.12, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:20:28,300 - INFO - Step 1, Epoch 89: Retain=61.40, New=79.34, Forget=0.00, Combined=64.98, Balanced=70.37, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:21:33,830 - INFO - Step 1, Epoch 90: Retain=60.30, New=80.14, Forget=0.00, Combined=64.25, Balanced=70.22, Zero_Ratio=0.000, Phase=Balanced
2025-08-24 01:22:40,597 - INFO - Step 1, Epoch 91: Retain=61.26, New=80.14, Forget=0.00, Combined=65.02, Balanced=70.70, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:23:46,963 - INFO - Step 1, Epoch 92: Retain=61.91, New=80.37, Forget=0.00, Combined=65.59, Balanced=71.14, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:24:52,576 - INFO - Step 1, Epoch 93: Retain=62.51, New=79.91, Forget=0.00, Combined=65.98, Balanced=71.21, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:25:59,221 - INFO - Step 1, Epoch 94: Retain=62.65, New=80.02, Forget=0.00, Combined=66.11, Balanced=71.34, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:27:05,855 - INFO - Step 1, Epoch 95: Retain=61.86, New=79.22, Forget=0.00, Combined=65.32, Balanced=70.54, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:28:11,842 - INFO - Step 1, Epoch 96: Retain=62.68, New=81.05, Forget=0.00, Combined=66.34, Balanced=71.87, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:29:17,641 - INFO - Step 1, Epoch 97: Retain=62.94, New=80.02, Forget=0.00, Combined=66.34, Balanced=71.48, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:30:23,987 - INFO - Step 1, Epoch 98: Retain=63.16, New=80.71, Forget=0.00, Combined=66.66, Balanced=71.94, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:31:30,697 - INFO - Step 1, Epoch 99: Retain=62.62, New=80.37, Forget=0.00, Combined=66.16, Balanced=71.49, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:32:37,234 - INFO - Step 1, Epoch 100: Retain=62.06, New=80.25, Forget=0.00, Combined=65.68, Balanced=71.15, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:33:42,511 - INFO - Step 1, Epoch 101: Retain=62.54, New=80.59, Forget=0.00, Combined=66.14, Balanced=71.57, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:34:48,413 - INFO - Step 1, Epoch 102: Retain=61.74, New=79.57, Forget=0.00, Combined=65.29, Balanced=70.66, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:35:54,679 - INFO - Step 1, Epoch 103: Retain=62.23, New=81.39, Forget=0.00, Combined=66.05, Balanced=71.81, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:37:00,800 - INFO - Step 1, Epoch 104: Retain=62.37, New=80.59, Forget=0.00, Combined=66.00, Balanced=71.48, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:38:06,318 - INFO - Step 1, Epoch 105: Retain=60.10, New=80.37, Forget=0.00, Combined=64.13, Balanced=70.23, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:39:50,043 - INFO - Step 1, Epoch 106: Retain=62.20, New=80.37, Forget=0.00, Combined=65.82, Balanced=71.28, Zero_Ratio=0.000, Phase=Fine-tuning
2025-08-24 01:40:36,915 - INFO - Step 1, Epoch 107: Retain=63.11, New=80.82, Forget=0.00, Combined=66.64, Balanced=71.96, Zero_Ratio=0.000, Phase=Fine-tuning
